Ti,V,Fe,Co,Ni,Zr,Mo,Sn,W,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs,Cs_zscore
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,98.3,2.0,K,OH,-0.1,0.4,1.0,1180.0,0.8209768593025075
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,98.3,2.0,K,OH,-0.1,0.4,2.5,952.0,0.4694802653086696
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,98.3,2.0,K,OH,-0.1,0.4,5.0,733.0,0.13185853686722
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,98.3,2.0,K,OH,-0.1,0.4,10.0,531.0,-0.1795551121974961
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,98.3,2.0,K,OH,-0.1,0.4,20.0,339.0,-0.47555224398178064
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,65.1,2.0,K,OH,-0.1,0.4,1.0,1079.0,0.6652700347701495
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,65.1,2.0,K,OH,-0.1,0.4,2.5,883.0,0.3631062960736923
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,65.1,2.0,K,OH,-0.1,0.4,5.0,681.0,0.05169264700897624
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,65.1,2.0,K,OH,-0.1,0.4,10.0,471.0,-0.272054215880085
False,False,False,True,False,False,False,False,False,NoCP,NoCP,hollow morph,NoCP,65.1,2.0,K,OH,-0.1,0.4,20.0,271.0,-0.5803845614887148
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,41.5,2.0,K,OH,-0.1,0.4,1.0,899.0,0.3877727237223827
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,41.5,2.0,K,OH,-0.1,0.4,2.5,733.0,0.13185853686722
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,41.5,2.0,K,OH,-0.1,0.4,5.0,583.0,-0.09938922233925235
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,41.5,2.0,K,OH,-0.1,0.4,10.0,388.0,-0.4000113093076664
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,41.5,2.0,K,OH,-0.1,0.4,20.0,221.0,-0.6574671478908722
False,False,False,True,False,False,False,False,False,NoCP,NoCP,bulk,NoCP,3.2,2.0,K,OH,-0.1,0.4,1.0,624.0,-0.03618150148948324
False,False,False,True,False,False,False,False,False,NoCP,NoCP,bulk,NoCP,3.2,2.0,K,OH,-0.1,0.4,2.5,495.0,-0.23505457440704944
False,False,False,True,False,False,False,False,False,NoCP,NoCP,bulk,NoCP,3.2,2.0,K,OH,-0.1,0.4,5.0,345.0,-0.46630233361352175
False,False,False,True,False,False,False,False,False,NoCP,NoCP,bulk,NoCP,3.2,2.0,K,OH,-0.1,0.4,10.0,212.0,-0.6713420134432606
