Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,PW,CD,Cs
27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,K,OH,0.4,2.0,125.0
27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,K,OH,0.4,5.0,112.0
27,4,9,1.88,1.18,3,3,3,4,28.0,2.0,K,OH,0.4,10.0,72.0
27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,K,OH,0.4,0.5,405.0
27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,K,OH,0.4,1.0,385.0
27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,K,OH,0.4,2.0,278.0
27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,K,OH,0.4,5.0,200.0
27,4,9,1.88,1.18,3,3,3,4,8.0,2.0,K,OH,0.4,10.0,158.0
27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,K,OH,0.4,0.5,825.0
27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,K,OH,0.4,1.0,782.0
27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,K,OH,0.4,2.0,550.0
27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,K,OH,0.4,5.0,375.0
27,4,9,1.88,1.18,3,3,3,4,18.0,2.0,K,OH,0.4,10.0,268.0
27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,K,OH,0.45,2.0,513.0
27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,K,OH,0.45,5.0,434.0
27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,K,OH,0.45,10.0,368.0
27,4,9,1.88,1.18,3,4,4,1,208.0,2.0,K,OH,0.45,15.0,324.0
28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,Li,OH,0.55,5.0,1725.0
28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,Li,OH,0.55,10.0,1584.0
28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,Li,OH,0.55,15.0,1489.0
28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,Li,OH,0.55,20.0,1411.0
28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,Li,OH,0.55,30.0,1293.0
28,4,10,1.91,1.17,0,0,5,0,24.2,2.0,Li,OH,0.55,40.0,1193.0
28,4,10,1.91,1.17,0,0,3,0,19.9,6.0,K,OH,0.55,2.0,1072.6
28,4,10,1.91,1.17,0,0,3,0,19.9,6.0,K,OH,0.55,3.0,912.7
28,4,10,1.91,1.17,0,0,3,0,19.9,6.0,K,OH,0.55,5.0,744.6
28,4,10,1.91,1.17,0,0,3,0,19.9,6.0,K,OH,0.55,7.0,618.5
28,4,10,1.91,1.17,0,0,3,0,19.9,6.0,K,OH,0.55,10.0,480.7
28,4,10,1.91,1.17,0,0,3,0,6.3,1.0,K,OH,0.45,1.0,782.67
28,4,10,1.91,1.17,0,0,3,0,6.3,1.0,K,OH,0.45,2.0,590.44
28,4,10,1.91,1.17,0,0,3,0,6.3,1.0,K,OH,0.45,5.0,408.0
28,4,10,1.91,1.17,0,0,3,0,6.3,1.0,K,OH,0.45,10.0,310.0
28,4,10,1.91,1.17,0,0,3,0,6.3,1.0,K,OH,0.45,20.0,237.33
28,4,10,1.91,1.17,0,0,3,0,6.3,1.0,K,OH,0.45,50.0,168.67
28,4,10,1.91,1.17,0,0,0,0,66.5,6.0,K,OH,0.45,0.5,566.0
28,4,10,1.91,1.17,0,0,0,0,66.5,6.0,K,OH,0.45,1.0,536.9
28,4,10,1.91,1.17,0,0,0,0,66.5,6.0,K,OH,0.45,2.0,382.7
28,4,10,1.91,1.17,0,0,0,0,66.5,6.0,K,OH,0.45,4.0,218.6
28,4,10,1.91,1.17,0,0,0,0,66.5,6.0,K,OH,0.45,6.0,112.9
28,4,10,1.91,1.17,0,0,0,0,66.5,6.0,K,OH,0.45,8.0,47.8
28,4,10,1.91,1.17,0,0,0,0,66.5,6.0,K,OH,0.45,10.0,28.8
28,4,10,1.91,1.17,0,0,2,0,11.4,2.0,Li,OH,0.6,1.0,1355.0
28,4,10,1.91,1.17,0,0,2,0,11.4,2.0,Li,OH,0.6,2.0,1240.0
28,4,10,1.91,1.17,0,0,2,0,11.4,2.0,Li,OH,0.6,5.0,1133.0
28,4,10,1.91,1.17,0,0,2,0,11.4,2.0,Li,OH,0.6,10.0,1050.0
28,4,10,1.91,1.17,0,0,2,0,11.4,2.0,Li,OH,0.6,15.0,1000.0
28,4,10,1.91,1.17,0,0,2,0,11.4,2.0,Li,OH,0.6,20.0,967.0
28,4,10,1.91,1.17,0,0,5,0,59.2,6.0,K,OH,0.55,1.0,1020.2
28,4,10,1.91,1.17,0,0,5,0,59.2,6.0,K,OH,0.55,2.0,821.2
28,4,10,1.91,1.17,0,0,5,0,59.2,6.0,K,OH,0.55,3.0,728.7
28,4,10,1.91,1.17,0,0,5,0,59.2,6.0,K,OH,0.55,5.0,643.6
28,4,10,1.91,1.17,0,0,5,0,59.2,6.0,K,OH,0.55,7.0,601.8
